run,total,proton,electron,gamma,pion,muon,other
1,3184,53,144,2556,91,0,340
2,3081,49,134,2456,75,0,367
3,3115,47,141,2505,92,0,330
4,3413,46,142,2764,103,1,357
5,2777,40,119,2295,70,0,253
6,2505,30,101,2090,56,0,228
7,2571,30,105,2118,69,2,247
8,1435,41,49,1033,73,0,239
9,2684,43,104,2167,76,2,292
10,1676,21,65,1282,59,0,249
Total,26441,400,1104,21266,764,5,2902
Average,2644,40,110,2126,76,0,290
Per Proton,0,0,,0,0,0,0
