run,d1_proton,d1_electron,d1_gamma,d1_pion,d1_muon,d1_kaon,d1_other,d1_total,d1_photons,d2_proton,d2_electron,d2_gamma,d2_pion,d2_muon,d2_kaon,d2_other,d2_total,d2_photons,d3_proton,d3_electron,d3_gamma,d3_pion,d3_muon,d3_kaon,d3_other,d3_total,d3_photons,d4_proton,d4_electron,d4_gamma,d4_pion,d4_muon,d4_kaon,d4_other,d4_total,d4_photons,
1,113,5,120,4,0,0,119,361,1499,205,2,57,2,0,0,53,319,2541,192,1,33,0,0,0,23,249,2459,186,3,57,1,0,0,63,310,2438,
2,111,2,68,3,0,0,105,289,1538,175,1,49,5,0,0,36,266,2370,172,4,40,0,0,0,30,246,2313,174,3,41,0,0,0,37,255,2362,
3,107,1,79,7,0,0,107,301,1427,189,0,55,3,0,0,66,313,2744,163,3,35,1,0,0,30,232,2539,203,4,36,3,0,0,53,299,2825,
4,133,3,104,8,0,0,118,366,1895,187,1,60,1,0,0,55,304,2539,187,1,21,1,0,0,35,245,2371,190,2,34,2,0,0,51,279,2473,
5,114,1,78,4,0,0,111,308,1433,180,4,34,4,0,0,53,275,2376,203,0,22,2,0,0,33,260,2591,203,1,46,1,0,0,56,307,2665,
6,100,3,99,5,0,0,120,327,1290,187,0,42,2,0,0,51,282,2581,195,1,22,0,0,0,17,235,2512,172,1,40,1,0,0,53,267,2200,
7,120,0,67,3,0,0,121,311,1493,163,1,38,3,0,0,41,246,2395,186,2,24,2,0,0,28,242,2462,214,4,50,1,0,0,51,320,2882,
8,149,7,129,4,0,0,120,409,2162,191,0,47,1,0,0,46,285,2591,196,0,28,0,0,0,22,246,2655,192,3,45,2,0,0,50,292,2458,
9,105,2,77,2,0,0,125,311,1438,190,4,58,3,0,0,56,311,2568,170,2,36,1,1,0,32,242,2227,191,3,52,2,0,0,56,304,2598,
10,124,2,129,5,0,0,148,408,1451,189,1,47,1,0,0,50,288,2556,150,0,22,1,0,0,31,204,1960,170,1,44,3,0,0,62,280,2222,

Total,1176,26,950,45,0,0,1194,3391,15626,1856,14,487,25,0,0,507,2889,25261,1814,14,283,8,1,0,281,2401,24089,1895,25,445,16,0,0,532,2913,25123
Average,117,2,95,4,0,0,119,339,1562,185,1,48,2,0,0,50,288,2526,181,1,28,0,0,0,28,240,2408,189,2,44,1,0,0,53,291,2512
PerPrimary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
