run,d1_proton,d1_electron,d1_gamma,d1_pion,d1_muon,d1_kaon,d1_other,d1_total,d1_photons,d2_proton,d2_electron,d2_gamma,d2_pion,d2_muon,d2_kaon,d2_other,d2_total,d2_photons,d3_proton,d3_electron,d3_gamma,d3_pion,d3_muon,d3_kaon,d3_other,d3_total,d3_photons,d4_proton,d4_electron,d4_gamma,d4_pion,d4_muon,d4_kaon,d4_other,d4_total,d4_photons,
1,143,5,136,5,0,0,153,442,1731,196,1,45,0,0,0,66,308,2523,201,0,30,1,1,0,41,274,2586,168,3,48,0,0,0,62,281,2341,
2,111,3,119,4,0,0,76,313,1454,203,3,44,0,0,0,50,300,2633,191,2,30,0,1,0,16,240,2604,186,1,37,2,0,0,33,259,2354,
3,118,11,111,3,0,0,95,338,1608,197,2,45,3,0,0,56,303,2518,180,2,25,0,0,0,24,231,2362,186,1,39,0,0,0,45,271,2308,
4,138,12,212,4,0,0,128,494,1692,209,0,30,1,0,0,54,294,2572,171,2,19,1,0,0,25,218,2121,190,0,41,3,0,0,42,276,2556,
5,128,5,74,2,0,0,84,293,1694,183,5,68,0,0,0,40,296,2319,195,1,24,0,0,0,29,249,2588,205,5,45,2,0,0,48,305,2757,
6,114,7,145,1,0,0,80,347,1599,180,3,58,2,0,0,44,287,2427,177,3,31,0,0,0,20,231,2361,189,2,48,0,0,0,33,272,2331,
7,113,6,154,3,0,0,107,383,1409,193,5,83,2,0,0,51,334,2817,186,2,36,0,0,0,32,256,2331,183,1,72,2,0,0,60,318,2486,
8,106,4,38,1,0,0,86,235,1337,186,1,39,0,0,0,31,257,2467,207,0,23,1,0,0,34,265,2662,203,1,29,2,0,0,42,277,2603,
9,125,10,125,0,0,0,99,359,1538,188,6,91,1,0,0,63,349,2755,185,0,24,3,0,0,31,243,2532,199,4,61,1,1,0,38,304,2756,
10,112,9,213,6,0,0,147,487,1872,193,2,44,3,0,0,60,302,2633,204,1,28,0,0,0,36,269,2855,153,6,66,1,0,0,63,289,2184,

Total,1208,72,1327,29,0,0,1055,3691,15934,1928,28,547,12,0,0,515,3030,25664,1897,13,270,6,2,0,288,2476,25002,1862,24,486,13,1,0,466,2852,24676
Average,120,7,132,2,0,0,105,369,1593,192,2,54,1,0,0,51,303,2566,189,1,27,0,0,0,28,247,2500,186,2,48,1,0,0,46,285,2467
PerPrimary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
