run,total,proton,electron,gamma,pion,muon,other
1,1836,23,68,1508,47,0,190
2,3761,51,169,3108,98,0,335
3,2155,44,85,1707,77,0,242
4,2200,37,86,1711,88,0,278
5,1553,40,50,1157,79,1,226
6,2530,41,117,2002,72,0,298
7,1877,34,74,1457,59,0,253
8,3184,36,148,2653,68,1,278
9,2056,40,93,1593,76,0,254
10,2499,42,116,2014,71,0,256
Total,23651,388,1006,18910,735,2,2610
Average,2365,38,100,1891,73,0,261
